name,bm_unit,lat,long
Fellside Power Station,FELL-1,,
Aberdare Power Station,ABERU-1,51.6975,-3.41613
Auchrobert Wind Farm,ABRTW-1,,
Carraig Gheal Wind Farm,CRGHW-1,,
Mark Hill Wind Farm,MKHLW-1,,
Millennium Wind Farm,MILWW-1,,
Glen Kyllachy Wind Farm,GLNKW-1,,
Tilbury Green Power,TIBG-1,,
Sandy Knowe Wind Farm,SAKNW-1,,
Back Lane Battery,AG-CBS06B,53.22386,-1.37484
Gwynt y Môr Wind Farm,GYMRO-15,53.45,-3.58333333
Gwynt y Môr Wind Farm,GYMRO-17,53.45,-3.58333333
Gwynt y Môr Wind Farm,GYMRO-26,53.45,-3.58333333
Gwynt y Môr Wind Farm,GYMRO-28,53.45,-3.58333333
Walney Wind Farm,WLNYO-2,54.044,-3.522
Walney Wind Farm,WLNYO-3,54.044,-3.522
Walney Wind Farm,WLNYO-4,54.044,-3.522
Walney Wind Farm,WLNYW-1,54.044,-3.522
Torness Nuclear Power Station,TORN-1,55.968,-2.40908
Torness Nuclear Power Station,TORN-2,55.968,-2.40908
Torness Nuclear Power Station,TORND-1,55.968,-2.40908
Hinkley Point B Nuclear Power Station,HINB-7,51.2088898,-3.1280887
Hinkley Point B Nuclear Power Station,HINB-8,51.2088898,-3.1280887
Hinkley Point B Nuclear Power Station,HINBD-1,51.2088898,-3.1280887
Thanet Wind Farm,THNTO-1,51.4306,1.6331
Thanet Wind Farm,THNTO-2,51.4306,1.6331
Drax power station,DRAXD-2,53.7358,-0.996389
Drax power station,DRAXX-1,53.7358,-0.996389
Drax power station,DRAXX-2,53.7358,-0.996389
Drax power station,DRAXX-3,53.7358,-0.996389
Drax power station,DRAXX-4,53.7358,-0.996389
Drax power station,DRAXX-5,53.7358,-0.996389
Drax power station,DRAXX-6,53.7358,-0.996389
Joint European Torus,CULJD-1,51.659166666,-1.226388888
Joint European Torus,CULJD-1,51.75484,-1.237215
Robin Rigg Wind Farm,RREW-1,54.75,-3.71667
Robin Rigg Wind Farm,RRWW-1,54.75,-3.71667
Wylfa Nuclear Power Station,WYLF-1,53.4167,-4.48333
Wylfa Nuclear Power Station,WYLF-2,53.4167,-4.48333
Wylfa Nuclear Power Station,WYLF-3,53.4167,-4.48333
Wylfa Nuclear Power Station,WYLF-4,53.4167,-4.48333
Barrow Offshore Wind Farm,BOWLW-1,53.9833,-3.28333
Isle of Man to England Interconnector,MANXENR-1,54.0,-3.83333
Burbo Bank Offshore Wind Farm,BRBEO-1,53.4833,-3.16667
Burbo Bank Offshore Wind Farm,BURBW-1,53.4833,-3.16667
Pembroke B Power Station,PEMB-11,51.6831,-4.98842
Pembroke B Power Station,PEMB-21,51.6831,-4.98842
Pembroke B Power Station,PEMB-31,51.6831,-4.98842
Pembroke B Power Station,PEMB-41,51.6831,-4.98842
Pembroke B Power Station,PEMB-51,51.6831,-4.98842
Race Bank Wind Farm,RCBKO-1,53.275,0.83333333
Race Bank Wind Farm,RCBKO-2,53.275,0.83333333
Moray East Offshore Wind Farm,MOWEO-1,58.16708,-2.69852
Moray East Offshore Wind Farm,MOWEO-2,58.16708,-2.69852
Moray East Offshore Wind Farm,MOWEO-3,58.16708,-2.69852
Medway Power Station,MEDP-1,51.44,0.69
Whitelee Wind Farm,WHILW-1,55.672777777,-4.285555555
Whitelee Wind Farm,WHILW-2,55.672777777,-4.285555555
Viking Wind Farm,VKNGW-1,60.286611111,-1.261222222
Viking Wind Farm,VKNGW-2,60.286611111,-1.261222222
Viking Wind Farm,VKNGW-3,60.286611111,-1.261222222
Viking Wind Farm,VKNGW-4,60.286611111,-1.261222222
Affric-Beauly hydro-electric power scheme,CAS-BEU01,57.325,-4.794
Anglesey Aluminium,ANGLD-1,,
Arecleoch Wind Farm,ARCHW-1,55.0533,-4.88222
Beatrice Wind Farm,BEATO-1,58.13,-3.07
Beatrice Wind Farm,BEATO-2,58.13,-3.07
Beatrice Wind Farm,BEATO-3,58.13,-3.07
Beatrice Wind Farm,BEATO-4,58.13,-3.07
Beinn an Tuirc Wind Farm,BTUIW-1,55.5714,-5.57611
Beinn an Tuirc Wind Farm,BTUIW-2,55.5714,-5.57611
Beinn an Tuirc Wind Farm,BTUIW-3,55.5714,-5.57611
Black Law Wind Farm,BLLA-1,55.7669,-3.73889
Black Law Wind Farm,BLLA-2,55.7669,-3.73889
Carrington Power Station,CARR-1,53.4358,-2.41089
Carrington Power Station,CARR-2,53.4358,-2.41089
Clyde Wind Farm,CLDCW-1,55.4672,-3.65444
Clyde Wind Farm,CLDNW-1,55.4672,-3.65444
Clyde Wind Farm,CLDSW-1,55.4672,-3.65444
Connah's Quay Power Station,CNQPS-1,53.2322,-3.0813
Connah's Quay Power Station,CNQPS-2,53.2322,-3.0813
Connah's Quay Power Station,CNQPS-3,53.2322,-3.0813
Connah's Quay Power Station,CNQPS-4,53.2322,-3.0813
Corby Power Station,CORB-1,52.5109,-0.68139
Coryton Power Station,COSO-1,51.512,0.508
Cowes Power Station,COWE1,50.7459,-1.2864
Cowes Power Station,COWE2,50.7459,-1.2864
Crystal Rig Wind Farm,CRYRW-2,55.9,-2.55
Crystal Rig Wind Farm,CRYRW-3,55.9,-2.55
Humber Gateway Wind Farm,HMGTO-1,53.644,0.293
Humber Gateway Wind Farm,HMGTO-2,53.644,0.293
Neart na Gaoithe Offshore Wind Farm,NNGAO-1,56.26777778,-2.32083333
East Anglia ONE,EAAO-1,52.66,2.3
East Anglia ONE,EAAO-2,52.66,2.3
European Offshore Wind Deployment Centre,ABRBO-1,57.2167,-1.98333
Fasnakyle Power Station,FASN-1,57.326083333,-4.794
Fasnakyle Power Station,FASN-4,57.326083333,-4.794
Fasnakyle Power Station,FASN2,57.326083333,-4.794
Fasnakyle Power Station,FASN3,57.326083333,-4.794
Kinlochleven Power Station,KNLCV-1,56.7129,-4.95803
Errochty Dam,ERRO-1,56.7644,-4.10523
Errochty Dam,ERRO-2,56.7644,-4.10523
Errochty Dam,ERRO-3,56.7644,-4.10523
Marchwood Power Station,MRWD-1,50.897777777,-1.438888888
Killingholme B power station,KILLPG-1,53.65419,-0.25518
Killingholme B power station,KILLPG-2,53.65419,-0.25518
Kilgallioch Wind Farm,KLGLW-1,55.05,-4.76527778
Thame Road Battery Storage,THMRB-1,,
Peterborough STOR,PETDG-1,52.575703,-0.2037977
Brigg STOR,BRGDG-1,53.540993,-0.508006
Neart na Gaoithe Offshore Wind Farm,NNGAO-2,56.26777778,-2.32083333
Cleve Hill Solar Park,CLVHS-1,51.3344,0.9429
Cleve Hill Solar Park,CLVHS-2,51.3344,0.9429
Mid Hill Wind Farm,2__PSTAT002,,
Dogger Bank B Wind Farm,DBBWO-2,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-3,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-4,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-5,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-1,54.9866,1.6622
Haghshaw Hill Wind Farm,HAHAW-1,,
Haghshaw Hill Wind Farm,HAGHW-2,,
Broken Cross wind farm,BROCW-1,55.6165211,-3.8280487
North Kyle Wind Farm,NOKYW-1,,
North Kyle Wind Farm,NOKYW-2,,
Thurrock Storage,THURB-1,,
Thurrock Storage,THURB-2,,
Thurrock Storage,THURB-3,,
