,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
6873,Easlea Road - Solar Photovoltaic Panels,Operational,Operational,0.743628552561582,52.239589125513426,Solar Photovoltaics,0.62,Suffolk,Eastern,England
6874,"Arlingham House, Quedgeley -  Solar Panels",Awaiting Construction,Planning Permission Granted,-2.2771351922829064,51.83295183057886,Solar Photovoltaics,0.28,Gloucestershire,South West,England
6875,"Low Farm, Flockton - Solar Photovoltaic Farm",Awaiting Construction,Planning Permission Granted,-1.628528087727786,53.64101768436645,Solar Photovoltaics,49.90,West Yorkshire,Yorkshire and Humber,England
6876,"Low Farm, Flockton - Battery Storage",Awaiting Construction,Planning Permission Granted,-1.628528087727786,53.64101768436645,Battery,,West Yorkshire,Yorkshire and Humber,England
6877,"Talbot Green, Llantrisant - Solar Farm",Awaiting Construction,Planning Permission Granted,-3.3887439805456157,51.55428935704403,Solar Photovoltaics,9.90,Mid Glamorgan,Wales,Wales
6878,Wharfedale General Hospital - Solar Photovoltaic Panels,Awaiting Construction,Planning Permission Granted,-1.700599395815994,53.914356461765344,Solar Photovoltaics,0.47,West Yorkshire,Yorkshire and Humber,England
6879,Slough Road - Battery Storage,Application Withdrawn,Planning Application Withdrawn,-0.5073844662239421,51.53817448352165,Battery,57.00,Buckinghamshire,South East,England
6880,Black Flatts Solar Farm,Awaiting Construction,Planning Permission Granted,-1.8979223284161317,52.771033163969385,Solar Photovoltaics,49.90,Staffordshire,West Midlands,England
6881,"Craig Y Perchych, Glais - Solar farm",Awaiting Construction,Planning Permission Granted,-3.8738117219965207,51.687770620656,Solar Photovoltaics,20.00,West Glamorgan,Wales,Wales
6882,"New Lane, Whatton - Solar Photovoltaic System",Revised,Revised,-0.9118812263751865,52.94677571590487,Solar Photovoltaics,0.25,Nottinghamshire,East Midlands,England
6883,Firsfield Solar Farm,Awaiting Construction,Planning Permission Granted,0.846790254652732,52.35077174614296,Battery,,Suffolk,Eastern,England
6884,"Station Road, Swineshead - Solar PV System",Awaiting Construction,Planning Permission Granted,-0.17412107226421117,52.95639527571169,Solar Photovoltaics,0.25,Lincolnshire,East Midlands,England
6885,"Manor Royal, Rowfant - Solar PV Array",Application Withdrawn,Planning Application Withdrawn,-0.1743717190434186,51.13106785772946,Solar Photovoltaics,0.27,West Sussex,South East,England
6886,"Cuttlehill Farm, Crossgates ",Abandoned,Abandoned,-3.3582951156756544,56.089515077822135,Battery,25.00,Fife,Scotland,Scotland
6887,Gammaton Moor Solar farm,Awaiting Construction,Planning Permission Granted,-4.141094180959298,51.00632785826935,Solar Photovoltaics,32.00,Devon,South West,England
6888,Coton Road - Solar Photovoltaic Panels,Awaiting Construction,Planning Permission Granted,-1.69953483019824,52.543472911786246,Solar Photovoltaics,3.00,West Midlands,West Midlands,England
6889,"Dawson Road, Bletchley - Solar Photovoltaic Panels",Application Submitted,Planning Application Submitted,-0.7290988670557167,52.00911955243702,Solar Photovoltaics,0.26,Buckinghamshire,South East,England
6890,Cadbury Garden And Leisure - Solar PV Panels,Awaiting Construction,Planning Permission Granted,-2.8090597872678877,51.37517354411256,Solar Photovoltaics,0.50,Somerset,South West,England
6891,Fair Oaks Renewable Energy Park - Solar farm & Battery energy storage,Awaiting Construction,Planning Permission Granted,-1.1569892823395198,52.880616714009456,Solar Photovoltaics,49.90,Nottinghamshire,East Midlands,England
6892,Fair Oaks Renewable Energy Park - Solar farm & Battery energy storage,Awaiting Construction,Planning Permission Granted,-1.1569892823395198,52.880616714009456,Battery,49.90,Nottinghamshire,East Midlands,England
6893,Number One Industrial Estate - Solar PV system,Awaiting Construction,Planning Permission Granted,-1.8272234895953023,54.8637755457771,Solar Photovoltaics,0.32,County Durham,North East,England
6894,Hawthorn Pit -Solar Farm,Awaiting Construction,Appeal Granted,-1.4048888132984432,54.809950947390675,Solar Photovoltaics,49.90,County Durham,North East,England
6895,"Battlesbridge Bypass, Rettendon - Battery Storage",Application Refused,Planning Permission Refused,0.5737701561139654,51.63865853420722,Battery,100.00,Essex,Eastern,England
6896,Great Wheatley Road - Solar Farm,Awaiting Construction,Appeal Granted,0.5975641726281228,51.58130502423471,Solar Photovoltaics,30.00,Essex,Eastern,England
6897,Five Estuaries - Wind Farm,Application Submitted,Planning Application Submitted,1.3517385763937566,51.963660587518476,Wind Offshore,300.00,Offshore,Offshore,England
6898,Heckington Fen Solar Park ,Awaiting Construction,Planning Permission Granted,-0.20764469574024005,52.97662157546693,Solar Photovoltaics,500.00,Lincolnshire,East Midlands,England
6899,Heckington Fen Solar Park - Battery Storage,Awaiting Construction,Planning Permission Granted,-0.20764469574024005,52.97662157546693,Battery,,Lincolnshire,East Midlands,England
6900,"Canewdon Road, Canewdon - Solar Photovoltaic Farm",Awaiting Construction,Planning Permission Granted,0.7066123681486164,51.61365383979923,Solar Photovoltaics,49.90,Essex,Eastern,England
6901,Gate Burton - Solar & Energy Storage Park,Awaiting Construction,Planning Permission Granted,-0.7425687469078285,53.336016025894914,Solar Photovoltaics,531.00,Lincolnshire,East Midlands,England
6902,Gate Burton - Solar & Energy Storage Park,Awaiting Construction,Planning Permission Granted,-0.7425687469078285,53.336016025894914,Battery,,Lincolnshire,East Midlands,England
6903,"Gainsborough Road, Saundby - Solar Farm",Awaiting Construction,Planning Permission Granted,-0.8221186066973296,53.38294208155004,Solar Photovoltaics,49.90,Nottinghamshire,East Midlands,England
6904,"Gainsborough Road, Saundby - Battery Storage Facility",Awaiting Construction,Planning Permission Granted,-0.8221186066973296,53.38294208155004,Battery,,Nottinghamshire,East Midlands,England
6905,The James Hutton Institute - Solar PV Array,Awaiting Construction,Planning Permission Granted,-3.069386973754237,56.45640507691776,Solar Photovoltaics,2.00,Angus,Scotland,Scotland
6906,Tontine Road - Battery Energy Storage System,Application Submitted,Planning Application Submitted,-2.720862096685997,53.53659314039914,Battery,70.00,Greater Manchester,North West,England
6907,Snakes Meadow - Solar Farm,Application Submitted,Planning Application Submitted,-0.5919228763300534,52.11393547135929,Solar Photovoltaics,45.50,Bedfordshire,Eastern,England
6908,"Downs Road, Curbridge Business Park - Solar Panels",Awaiting Construction,Planning Permission Granted,-1.5272035741269248,51.79000889454616,Solar Photovoltaics,1.00,Oxfordshire,South East,England
6909,Mawla Redruth - Geothermal Power Plant,Application Submitted,Planning Application Submitted,-5.220424414211486,50.270575393771594,Geothermal ,,Cornwall,South West,England
6910,Tolvaddon Geothermal Power Plant,Application Submitted,Planning Application Submitted,-5.281410265870466,50.23097627396458,Geothermal ,,Cornwall,South West,England
6911,Squirrel Lane - Solar Photovoltaic Farm,Awaiting Construction,Appeal Granted,-2.6670081988847323,52.37594297173397,Solar Photovoltaics,12.00,Shropshire,West Midlands,England
6912,Neilson Road - Solar Photovoltaic Array,Awaiting Construction,Planning Permission Granted,-1.5813084257491024,54.96072433990142,Solar Photovoltaics,0.94,Tyne And Wear,North East,England
6913,Albany Road - Solar Array,Awaiting Construction,Planning Permission Granted,-1.591345782080052,54.96578179503706,Solar Photovoltaics,2.00,Tyne And Wear,North East,England
6914,Sweet Briar Farm - Solar Farm,Application Submitted,Planning Application Submitted,-0.3090728165344416,53.62661530607095,Solar Photovoltaics,39.00,Lincolnshire,Yorkshire and Humber,England
6915,H M Prison & Young Offender Institution - Solar Photovoltaic Panels,Awaiting Construction,Planning Permission Granted,-1.6129178577426921,53.63614157309001,Solar Photovoltaics,0.21,West Yorkshire,Yorkshire and Humber,England
6916,Aygill Intake - Solar Panels & Wind Turbines,Awaiting Construction,Planning Permission Granted,-1.8936362214635292,54.161499572912724,Solar Photovoltaics,,North Yorkshire,Yorkshire and Humber,England
6917,Rosehill Farm - Geothermal Power Plant,Awaiting Construction,Planning Permission Granted,-5.141309237606125,50.31858541489635,Geothermal ,,Cornwall,South West,England
6918,Lower Crahan Farm - Geothermal Power Plant,Awaiting Construction,Planning Permission Granted,-5.237905296200822,50.12330029686777,Geothermal ,,Cornwall,South West,England
6919,Tame Power - Flexible Energy Facility,Revised,Revised,-2.0730744846351437,53.481803403383566,Landfill Gas,4.50,Cheshire,North West,England
6920,"Progress Road, Eastwood - Urban Reserve Flexible Energy Facility",Awaiting Construction,Planning Permission Granted,0.6424409726776501,51.570068105327096,Landfill Gas,4.00,Essex,Eastern,England
6921,Washington Road - Solar Farm,Awaiting Construction,Planning Permission Granted,-1.4668654216167885,54.92062884256857,Solar Photovoltaics,20.00,Tyne And Wear,North East,England
6922,Kilnwood Farm - Greener Grid Park & Energy Storage,Application Submitted,Planning Application Submitted,0.4454782069051099,50.879535403356904,Battery,,East Sussex,South East,England
6923,IBL Cold Stores - Solar Photovoltaics Panels,Operational,Operational,-2.847372630573695,53.48637952910557,Solar Photovoltaics,0.80,Merseyside,North West,England
6924,Consession Queen Mother Sports Centre - Solar Panels,Application Submitted,Planning Application Submitted,-0.1408643860975928,51.49364157998489,Solar Photovoltaics,,London,London,England
6925,"Scawby Brook, Brigg - Battery Storage",Awaiting Construction,Planning Permission Granted,-0.505731884588527,53.541003115260054,Battery,99.00,Lincolnshire,Yorkshire and Humber,England
6926,"Mopes Lane, Purton - Solar Farm",Awaiting Construction,Planning Permission Granted,-1.8746237503703873,51.597743514966226,Solar Photovoltaics,20.00,Wiltshire,South West,England
6927,Hempsted Lane - Solar Array,Revised,Revised,-2.275652122679691,51.85860651481369,Solar Photovoltaics,2.00,Gloucestershire,South West,England
6928,"Lynn Road, Southery - Solar panels",Awaiting Construction,Planning Permission Granted,0.38679103278977184,52.53219826786944,Solar Photovoltaics,0.52,Norfolk,Eastern,England
6929,"Allington Lane, West End - Solar panels",Awaiting Construction,Planning Permission Granted,-1.3427185377968598,50.939172535046374,Solar Photovoltaics,0.50,Hampshire,South East,England
6930,Moberly Sports Centre - Photovoltaic Arrays,Application Refused,Planning Permission Refused,-0.2161316679811215,51.53060948437007,Solar Photovoltaics,,London,London,England
6931,Plas Yolyn - Solar Park,Awaiting Construction,Planning Permission Granted ,-2.971866482664812,52.93373691399859,Solar Photovoltaics,,Shropshire,West Midlands,England
6932,"Itchen Power, West End - Solar Panels",Awaiting Construction,Planning Permission Granted,-1.3496486536860386,50.93924728791633,Solar Photovoltaics,0.20,Hampshire,South East,England
6933,Amery Court Farm - Solar Array,Application Submitted,Planning Application Submitted,1.0473067066905328,51.313296973653536,Solar Photovoltaics,,Kent,South East,England
6934,Ark Hill Wind Farm,Application Submitted,Planning Application Submitted,-3.0442637339426195,56.56198941466937,Wind Onshore,9.20,Angus,Scotland,Scotland
6935,"North Court Farm, Chilham - Solar Farm",Application Refused,Planning Permission Refused,0.9728333204467364,51.256892664723544,Solar Photovoltaics,44.00,Kent,South East,England
6936,"Chivers Way, Histon - Anaerobic Digestion Reactor",Planning Permission Expired,Planning Permission Expired,0.10445398504710408,52.246236291976736,Anaerobic Digestion,,Cambridgeshire ,Eastern,England
6937,Academy Road - Energy Centre & Anaerobic Digestion Facility,Revised,Revised,-4.158469377723457,57.70007946578617,Anaerobic Digestion,4.00,Highland,Scotland,Scotland
6938,Berwick Bank Offshore Wind Farm ,Application Submitted,Planning Application Submitted,-1.4664020168914333,56.44313898606738,Wind Offshore,4100.00,Offshore,Offshore,Scotland
6939,British Film Institute - Solar Arrays,Awaiting Construction,Planning Permission Granted,-1.5232598634188934,52.183843468899354,Solar Photovoltaics,0.16,Warwickshire,West Midlands,England
6940,Gloucestershire College - Photovoltaic Solar Panels,Awaiting Construction,Planning Permission Granted,-2.2559805452491553,51.861797828866216,Solar Photovoltaics,0.64,Gloucestershire,South West,England
6941,Common Farm - Solar Farm & Battery Storage,Awaiting Construction,Planning Permission Granted,-1.247404652600175,53.37219531948884,Solar Photovoltaics,49.00,South Yorkshire,Yorkshire and Humber,England
6942,Common Farm - Solar Farm & Battery Storage,Awaiting Construction,Planning Permission Granted,-1.247404652600175,53.37219531948884,Battery,49.00,South Yorkshire,Yorkshire and Humber,England
6943,Lawns Solar Farm,Awaiting Construction,Planning Permission Granted,-2.968706900071175,53.77344283321904,Solar Photovoltaics,25.00,Lancashire,North West,England
6944,Systems House,Awaiting Construction,Planning Permission Granted,-0.476536265252637,52.120287573088795,Solar Photovoltaics,0.20,Bedfordshire,Eastern,England
6945,"Hallmoss Workshop, Inverallochy - Solar Panels",Awaiting Construction,Planning Permission Granted,-1.9249002428362922,57.66321255330393,Solar Photovoltaics,0.18,Aberdeenshire ,Scotland,Scotland
6946,Avro Way - Solar Array,Revised,Revised,-0.4783361133976004,51.34703961744048,Solar Photovoltaics,0.20,Surrey,South East,England
6947,Caledonian Solar Park,Awaiting Construction,Planning Permission Granted,-4.261129724357669,55.908186701466136,Solar Photovoltaics,18.40,Strathclyde,Scotland,Scotland
6948,Jubilee Close - Solar photovoltaics,Awaiting Construction,Planning Permission Granted,-2.457391631648881,50.617144377937656,Solar Photovoltaics,0.20,Dorset,South West,England
6949,Callisterhall Wind Farm -  Wind Farm & Battery Storage,Application Refused,Planning Permission Refused,-3.126520538310759,55.14175376506544,Wind Onshore,39.20,Dumfries and Galloway,Scotland,Scotland
6950,Langhurst Wood Road - Hydrogen Generation Facility,Application Withdrawn,Planning Application Withdrawn,-0.3288526384543936,51.10035573830808,Hydrogen,2.00,West Sussex,South East,England
6951,"Kilnwood Farm, Lunsford Cross - Energy Storage",Application Submitted,Planning Application Submitted,0.4454782069051099,50.879535403356904,Battery,,East Sussex,South East,England
6952,"Knapthorpe Grange, Caunton -  Solar Farm",Awaiting Construction,Appeal Granted,-0.8948583328724501,53.12050400979557,Solar Photovoltaics,49.90,Nottinghamshire,East Midlands,England
6953,"Kilnwood Farm, Lunsford Cross - Energy Storage",Application Submitted,Planning Application Submitted,0.4461010635205601,50.87677015549818,Battery,,East Sussex,South East,England
6954,Mallard Pass Solar Farm,Awaiting Construction,Planning Permission Granted,-0.4497406120536076,52.691229757397004,Solar Photovoltaics,350.00,Lincolnshire,East Midlands,England
6955,Moberly Sports Centre - Photovoltaic Arrays,Awaiting Construction,Planning Permission Granted,-0.2161316679811215,51.53060948437007,Solar Photovoltaics,0.17,London,London,England
6956,"Ipswich Road, Cardiff - Battery Storage ",Revised,Revised,-3.14550101993948,51.498784593092786,Battery,50.00,South Glamorgan,Wales,Wales
6957,"Wissett Solar Farm, Wissett - Solar Photovoltaic (PV) Farm ",Awaiting Construction,Planning Permission Granted,1.4850163128292748,52.35313777311192,Solar Photovoltaics,27.00,Suffolk,Eastern,England
6958,"Wissett Solar Farm, Wissett - Battery Storage",Awaiting Construction,Planning Permission Granted,1.4850163128292748,52.35313777311192,Battery,10.00,Suffolk,Eastern,England
6959,Sherbourne - Solar Farm,Revised,Revised,-1.6331186584680883,52.256545757184725,Solar Photovoltaics,25.00,Warwickshire,West Midlands,England
6960,"Pegasus House, Sackville Street - Roof Mounted Solar Panels",Awaiting Construction,Planning Permission Granted,-0.13827076970951582,51.509211457624914,Solar Photovoltaics,2.30,London,London,England
6961,City Of London Academy - Solar Panels,Revised,Revised,-0.06470003053111206,51.4892259568831,Solar Photovoltaics,,London,London,England
6962,Sclenteuch Wind Farm - Wind Farm,Application Submitted,Planning Application Submitted,-4.513052443935042,55.33565843082388,Wind Onshore,54.00,Strathclyde,Scotland,Scotland
6963,"Evenwood Lane, Evenwood - Solar PV System",Awaiting Construction,Planning Permission Granted,-1.755565426110949,54.617160057680636,Solar Photovoltaics,0.61,County Durham,North East,England
6964,Drum Farm - Battery Energy Storage System,Awaiting Construction,Planning Permission Granted,-2.9298214803001446,57.542967106674375,Battery,49.90,Grampian,Scotland,Scotland
6965,Kiln Fields Solar Farm,Under Construction,Under Construction,-0.9619360978919277,51.327729192344336,Solar Photovoltaics,17.87,Hampshire,South East,England
6966,"Maggots End Road, Berden - Solar Farm & Battery Storage",Revised,Revised,0.14891979330884744,51.92798676218232,Solar Photovoltaics,49.90,Hertfordshire,Eastern,England
6967,"Maggots End Road, Berden - Solar Farm & Battery Storage",Revised,Revised,0.14891979330884744,51.92798676218232,Battery,,Hertfordshire,Eastern,England
6968,Bryn Posteg Landfill Site - Solar Array & Battery Storage,Abandoned,Abandoned,-3.52055518991758,52.428612949430224,Solar Photovoltaics,1.00,Powys,Wales,Wales
6969,East Fulwood Greenock Road - Solar Farm,Awaiting Construction,Planning Permission Granted,-4.468327700169532,55.87706238890434,Solar Photovoltaics,14.30,Renfrewshire,Scotland,Scotland
6970,Bristol City Council - Solar PV Project,Under Construction,Under Construction,inf,inf,Solar Photovoltaics,,Gloucestershire,South West,England
6971,Hurst Road - Walton Solar PV Farm,Operational,Operational,-0.3981329664590284,51.40197522140054,Solar Photovoltaics,0.55,Surrey,South East,England
6972,Greystone Knowe Wind Farm - Wind Farm,Application Submitted,Planning Application Submitted,-2.9681663466811385,55.73327680975505,Wind Onshore,75.00,Borders,Scotland,Scotland
6973,Loch Ness & Loch Kemp - Pumped Hydro Scheme,Application Submitted,Planning Application Submitted,-4.537367998725268,57.21273115853431,Pumped Storage Hydroelectricity,600.00,Highland,Scotland,Scotland
6974,Douglas West Wind Farm (extension),Awaiting Construction,Planning Permission Granted,-3.8901038330510698,55.58735750575257,Battery,20.00,Strathclyde,Scotland,Scotland
6975,Reading International Business Park - Roof Mounted Solar Panels,Awaiting Construction,Planning Permission Granted,-0.9758901782505157,51.41517309455234,Solar Photovoltaics,0.26,Berkshire,South East,England
6976,Dodleston Farm - Solar PV,Awaiting Construction,Planning Permission Granted,-2.95787053303356,53.144491425834204,Solar Photovoltaics,0.16,Cheshire,North West,England
6977,Mynydd Maen - Wind Farm,Application Submitted,Planning Application Submitted,-3.0408757665595547,51.66522478795553,Wind Onshore,54.60,Gwent,Wales,Wales
6978,"Larport, Clay Hill Pit - Solar Photovoltaics & Battery storage",Operational,Operational,-2.6269286304563457,52.05336760699542,Solar Photovoltaics,45.00,Herefordshire ,West Midlands,England
6979,"Larport, Clay Hill Pit - Solar Photovoltaics & Battery storage",Operational,Operational,-2.6269286304563457,52.05336760699542,Battery,,Herefordshire ,West Midlands,England
6980,Pound Farm Lane - Battery Storage,Application Refused,Planning Permission Refused,-3.3029138853435183,51.572241749186084,Battery,30.00,Mid Glamorgan,Wales,Wales
6981,"Barlow Road, Barlow - Battery Storage",Revised,Revised,-1.0575207104362945,53.77317069656795,Battery,50.00,North Yorkshire,Yorkshire and Humber,England
6982,Redfield Road - Hydrogen Energy Project,Awaiting Construction,Planning Permission Granted,-1.179432599260222,52.93466622670659,Hydrogen,,Nottinghamshire,East Midlands,England
6983,Clepington Road Electric Vehicle Charging Hub,Application Withdrawn,Planning Application Withdrawn,-2.9853191414520803,56.47896029603624,Battery,0.60,Angus,Scotland,Scotland
6984,"Nutsgrove Farm, Thorney - Solar Array ",Awaiting Construction,Planning Permission Granted,-0.041496394799349245,52.64488049923963,Solar Photovoltaics,49.90,Cambridgeshire,Eastern,England
6985,"Nutsgrove Farm, Thorney - Battery Energy Storage",Awaiting Construction,Planning Permission Granted,-0.041496394799349245,52.64488049923963,Battery,50.00,Cambridgeshire,Eastern,England
6986,Brynrhyd Solar Farm,Awaiting Construction,Planning Permission Granted,-4.043172057626995,51.75363912486588,Solar Photovoltaics,36.00,Carmarthenshire,Wales,Wales
6987,Eden Geothermal Limited - Eden Project Energy Centre,Operational,Operational,-4.7491325039331524,50.37259571441228,Geothermal ,,Cornwall,South West,England
6988,Maes Mawr Solar,Application Submitted,Planning Application Submitted,-3.2961961882182242,51.564358344110616,Solar Photovoltaics,30.00,Glamorgan,Wales,Wales
6989,King Street - Photovoltaic Panels,Awaiting Construction,Planning Permission Granted,-4.688918952448101,55.93406359569302,Solar Photovoltaics,,Inverclyde,Scotland,Scotland
6990,"Darlington Road, Skeeby - Battery Energy Storage System",Revised,Revised,-1.69893625725841,54.41111534500233,Battery,,North Yorkshire,Yorkshire and Humber,England
6991,"Castle An Dinas Quarry, Ludgvan - Solar Array",Awaiting Construction,Planning Permission Granted,-5.521315260901178,50.1521529026466,Solar Photovoltaics,0.40,Cornwall,South West,England
6992,Northington Lane - Battery Storage Facility,Awaiting Construction,Appeal Granted,-2.4348891724323707,51.77636083545524,Battery,35.00,Gloucestershire,South West,England
6993,Pleasance Road - Battery Energy Facility,Operational,Operational,-3.2732712396149255,56.542145617037036,Battery,49.90,Tayside,Scotland,Scotland
6994,Sundon Sub Station Battery Storage Facility,Awaiting Construction,Planning Permission Granted,-0.5048511308998501,51.9312462691369,Battery,50.00,Bedfordshire,Eastern,England
6995,Relief Road - Solar Photovoltaic Panels,Awaiting Construction,Planning Permission Granted,-0.9752242987535824,51.41472667224599,Solar Photovoltaics,0.60,Berkshire ,South East,England
6996,High Street - Solar Farm,Awaiting Construction,Planning Permission Granted,-2.698630313469877,53.15685721607242,Solar Photovoltaics,17.57,Cheshire,North West,England
6997,Morrisons Witham - Solar Pv Panels,Operational,Operational,0.6385510199963,51.80971213099422,Solar Photovoltaics,0.19,Essex,Eastern,England
6998,James Watt Way - Solar PV Array,Awaiting Construction,Planning Permission Granted,0.18469017014279515,51.48016810179587,Solar Photovoltaics,0.62,Kent,London,England
6999,Morrisons Store 148 Cheriton Road - Solar Array,Operational,Operational,1.1609936259982296,51.08531062648564,Solar Photovoltaics,0.29,Kent,South East,England
7000,Land North of the A11 - Solar Park,Awaiting Construction,Planning Permission Granted,0.9919779119988322,52.519482319023375,Solar Photovoltaics,1.00,Norfolk,Eastern,England
7001,Cherwell Valley Business Park - Solar Park,Awaiting Construction,Planning Permission Granted,-1.2964732083315824,52.04223918405598,Solar Photovoltaics,3.17,Northamptonshire,East Midlands,England
7002,Selwood Solar Farm,Application Withdrawn,Planning Application Withdrawn,-2.311488284001802,51.21699605949166,Solar Photovoltaics,6.00,Somerset,South West,England
7003,"Mount Road, Castle Gresley - Battery Storage Facility",Awaiting Construction,Planning Permission Granted,-1.5927363902853104,52.75811698269587,Battery,20.00,Derbyshire,East Midlands,England
7004,Cellarhead - Battery Site,Revised,Revised,-2.0774884874578983,53.04311278268313,Battery,349.00,Staffordshire,West Midlands,England
7005,Forthside Way - Battery Storage Unit,Awaiting Construction,Planning Permission Granted,-3.914460469016516,56.11841977085225,Battery,1.00,Strathclyde,Scotland,Scotland
7006,"YHN House, Benton Park Road- Solar Photovoltaic Panels",Awaiting Construction,Planning Permission Granted,-1.5985721753894033,55.00861633291811,Solar Photovoltaics,0.26,Tyne And Wear,North East,England
7007,"Onley Park, Barby - Solar Photovoltaic PV Generation System",Awaiting Construction,Planning Permission Granted,-1.2476907842567002,52.3264635423427,Solar Photovoltaics,0.28,Warwickshire,East Midlands,England
7008,Tir John Solar Farm,Awaiting Construction,Planning Permission Granted,-3.9066147489580065,51.624529814452806,Solar Photovoltaics,3.00,West Glamorgan,Wales,Wales
7009,"Morrisons Supermarket, Rubery - Solar Photovoltaics",Awaiting Construction,Planning Permission Granted,-2.007994534824808,52.3960131309513,Solar Photovoltaics,0.57,West Midlands,West Midlands,England
7010,Corley Smorral Lane - Photovoltaic Solar Arrays ,Awaiting Construction,Planning Permission Granted,-1.5438313496396572,52.47434612475843,Solar Photovoltaics,16.50,West Midlands,West Midlands,England
7011,Corley Smorral Lane - Battery Storage,Awaiting Construction,Planning Permission Granted,-1.5438313496396572,52.47434612475843,Battery,,West Midlands,West Midlands,England
7012,Kirkhaw Lane - Battery Storage Energy,Awaiting Construction,Planning Permission Granted,-1.2760166392535661,53.72109179955042,Battery,150.00,West Yorkshire,Yorkshire and Humber,England
7013,HyGreen Teesside - Hydrogen Production Facility,Application Submitted,Planning Application Submitted,-1.101337208681604,54.57499737308402,Hydrogen,105.00,Cleveland,North East,England
7014,Manmoel Wind Farm,Awaiting Construction,Planning Permission Granted,-3.208147159787028,51.75351188962886,Wind Onshore,28.00,Blaenau Gwent,Wales,Wales
7015,Penpergwm Solar Farm,Awaiting Construction,Planning Permission Granted,-2.9736324186520293,51.79752575006936,Solar Photovoltaics,37.00,Gwent,Wales,Wales
7016,Y Bryn Wind Farm,Application Submitted,Planning Application Submitted,-3.709727936193912,51.59185504995873,Wind Onshore,130.00,Neath Port Talbot,Wales,Wales
7017,Pentre Bach Solar Farm,Application Submitted,Planning Application Submitted,-3.037284375781518,51.624461780681735,Solar Photovoltaics,20.00,Torfaen,Wales,Wales
7018,"Electricity Sub Station, Strichen - Battery Storage Facility",Awaiting Construction,Planning Permission Granted,-2.064950140467413,57.589068802041474,Battery,50.00,Aberdeenshire ,Scotland,Scotland
7019,Beavor - Photovoltaic Solar Arrays,Under Construction,Under Construction,-2.9528860521889535,50.777447397973674,Solar Photovoltaics,18.90,Devon,South West,England
7020,Parley Green - Solar Farm,Awaiting Construction,Planning Permission Granted,-1.863445528830584,50.76941883110388,Solar Photovoltaics,35.00,Dorset,South West,England
7021,Peterseat Drive - Solar PV Panels,Awaiting Construction,Planning Permission Granted,-2.0690482575863838,57.121767967851426,Solar Photovoltaics,,Grampian,Scotland,Scotland
7022,"Preston Farm, Preston Candover - Solar PV Array",Awaiting Construction,Planning Permission Granted,-1.1602095742490117,51.179393686681074,Solar Photovoltaics,28.00,Hampshire,South East,England
7023,"Caton Road, Lancaster -  Battery Storage Facility",Awaiting Construction,Planning Permission Granted,-2.7869024115021666,54.06827838021339,Battery,25.00,Lancashire ,North West,England
7024,Crompton Street - Solar Photovoltaic Array,Awaiting Construction,Planning Permission Granted,-0.17720980764838892,51.52253842994972,Solar Photovoltaics,0.20,London,London,England
7025,"Stowey Road, Stowey - Solar Farm",Application Submitted,Planning Application Submitted,-2.580371248599665,51.341740701291684,Solar Photovoltaics,49.90,Somerset,South West,England
7026,"Peterson Avenue, Hartcliffe - Solar Photovoltaics PV equipment",Awaiting Construction,Planning Permission Granted,-2.5996475137268136,51.4051344431787,Solar Photovoltaics,0.47,Gloucestershire,South West,England
7027,St Dennis - Battery Energy Storage,Revised,Revised,-4.8949641028923105,50.39090407503606,Battery,100.00,Cornwall,South West,England
7028,Leek Road - Solar PV array,Awaiting Construction,Planning Permission Granted,-2.15985945955364,53.02136664404002,Solar Photovoltaics,1.06,Staffordshire,West Midlands,England
7029,"Churchill China Uk Limited, Marlborough Way, Sandyford - Solar Panels",Awaiting Construction,Planning Permission Granted,-2.2225335159544617,53.06800017088372,Solar Photovoltaics,0.99,Staffordshire,West Midlands,England
7030,"Morrisons, George Westwood Way - Photovoltaic Array",Awaiting Construction,Planning Permission Granted,1.5717583921664564,52.46375903616837,Solar Photovoltaics,,Suffolk,Eastern,England
7031,Southfield Farm - Battery Storage Facility,Application Withdrawn,Planning Application Withdrawn,-2.0679896649028797,51.57577056996579,Battery,,Wiltshire,South West,England
7032,Needingworth Road - Solar Photovoltaic Array,Awaiting Construction,Planning Permission Granted,-0.05202051182260577,52.329235100993145,Solar Photovoltaics,0.37,Cambridgeshire,Eastern,England
7033,Langford Lane - Solar PV System,Awaiting Construction,Planning Permission Granted,-1.306916228905566,51.83046530882789,Solar Photovoltaics,0.23,Oxfordshire,South East,England
7034,Telford Shopping Centre - Solar Photovoltaic PV Array,Awaiting Construction,Planning Permission Granted,-2.4468884048429658,52.676840682514765,Solar Photovoltaics,1.82,Shropshire,West Midlands,England
7035,Silvine Works - Roof Mounted Solar Panels,Awaiting Construction,Planning Permission Granted,-1.691471310714577,53.90729591076873,Solar Photovoltaics,0.24,West Yorkshire,Yorkshire and Humber,England
7036,Aultmore Forest - Buckie - Windfarm,Application Submitted,Planning Application Submitted,-2.9436208341649315,57.524880804890195,Wind Onshore,105.60,Grampian,Scotland,Scotland
7037,Park Road Battery Storage,Awaiting Construction,Planning Permission Granted,-2.2031308382693426,53.695448260318415,Battery,10.00,Lancashire,North West,England
7038,"Hockerton Road, Caunton - Solar Farm",Awaiting Construction,Appeal Granted,-0.8997990631723064,53.1148594406714,Solar Photovoltaics,49.90,Nottinghamshire,East Midlands,England
