,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
64,Rugby Cement Works,Abandoned,Abandoned,-1.2867623809806434,52.376871839763126,Biomass (dedicated),35.00,Warwickshire,West Midlands,England
65,Corby Biomass Plant,Abandoned,Abandoned,-0.6783170707286418,52.50860736609464,Biomass (dedicated),14.30,Northamptonshire,East Midlands,England
66,University of East Anglia CHP,Abandoned,Abandoned,1.2413910513992856,52.6223694461151,Advanced Conversion Technologies,1.40,Norfolk,Eastern,England
67,King's Yard,Operational,Operational,-0.005578513994198582,51.53586045587667,Biomass (dedicated),3.00,London,London,England
68,"EQ Waste, Appspond Lane",Abandoned,Abandoned,-0.39267112655833875,51.739888588627394,Biomass (dedicated),6.00,Hertfordshire,Eastern,England
69,Appspond Lane (resubmission),Planning Permission Expired,Planning Permission Expired,-0.39267112655833875,51.739888588627394,Biomass (dedicated),6.00,Hertfordshire,Eastern,England
70,Rosyth,Planning Permission Expired,Planning Permission Expired,-3.4383029211400213,56.02307635291396,Biomass (dedicated),120.00,Fife,Scotland,Scotland
71,Forth Ports Ltd 2 (Grangemouth),Planning Permission Expired,Planning Permission Expired,-3.710883536628878,56.02496957273207,Biomass (dedicated),85.00,Falkirk,Scotland,Scotland
72,Forth Ports Ltd 4,Application Withdrawn,Planning Application Withdrawn,-3.182174743785984,55.98131081344091,Biomass (dedicated),120.00,Lothian,Scotland,Scotland
73,Drax Ouse Renewable Energy Park,Abandoned,Abandoned,-0.9908267564170762,53.747496343274925,Biomass (dedicated),290.00,North Yorkshire,Yorkshire and Humber,England
74,Drax Heron Renewable Energy Park,Abandoned,Abandoned,-0.21531622358969202,53.63876522270775,Biomass (dedicated),290.00,Humberside,Yorkshire and Humber,England
75,North Blyth Biomass Power Station,Abandoned,Abandoned,-1.5102476309302015,55.13548320760111,Biomass (dedicated),99.00,Northumberland,North East,England
76,Pollington Energy Park,Abandoned,Abandoned,-1.5237534507112351,53.78199507413595,Biomass (dedicated),53.00,West Yorkshire,Yorkshire and Humber,England
77,Bishop's Castle Biomass Power Project,Abandoned,Abandoned,-2.992489863542566,52.487799081670275,Biomass (dedicated),13.00,Shropshire,West Midlands,England
78,Boyndie Airfield Biomass,Abandoned,Abandoned,-2.638964003784477,57.66532977882179,Biomass (dedicated),4.00,Grampian,Scotland,Scotland
79,Chequers Lane,Abandoned,Abandoned,0.14012432326067262,51.53447961461059,Biomass (dedicated),2.50,London,London,England
80,Corpach Biomass Energy Plant,Abandoned,Abandoned,-5.122471114594175,56.84270469689972,Biomass (dedicated),20.00,Highland,Scotland,Scotland
81,Huntingdon,Abandoned,Abandoned,-0.2995803782811633,52.33402007960782,Advanced Conversion Technologies,4.50,Cambridgeshire,Eastern,England
82,Kiveton Recycling Centre,Abandoned,Abandoned,-1.2413630960304984,53.3383050797913,Biomass (dedicated),2.50,South Yorkshire,Yorkshire and Humber,England
83,Ridham CHP Plant,Operational,Operational,0.7588220297660605,51.38233130377889,Biomass (dedicated),25.00,Kent,South East,England
84,Tesco Distribution Centre (Livingston),Abandoned,Abandoned,-3.5839049382568273,55.9040966370971,Biomass (dedicated),6.50,Lothian,Scotland,Scotland
85,R.Plevin & Sons CHP,Application Refused,Planning Permission Refused,-0.9932366344556556,53.27342960734355,Biomass (dedicated),1.60,Nottinghamshire,East Midlands,England
86,Cardiff Dock Heat and Power,Abandoned,Abandoned,-3.1494698591352055,51.461843001799494,Biomass (dedicated),2.50,South Glamorgan,Wales,Wales
87,Port Clarence Biomass Plant,Under Construction,Under Construction,-1.2307324739349312,54.587778612934386,Biomass (dedicated),40.00,Cleveland,North East,England
88,Pegham Renewable Energy Facility,Planning Permission Expired,Planning Permission Expired,-1.2118455684718241,50.87634126109882,Advanced Conversion Technologies,2.00,Hampshire,South East,England
89,Margam Green Energy Plant,Operational,Operational,-3.747885446992546,51.563308821454704,Biomass (dedicated),40.00,West Glamorgan,Wales,Wales
90,Merevale & Blyth Estate (Biomass Plant),Operational,Operational,-1.586703831680865,52.57165798198684,Biomass (dedicated),2.50,Warwickshire,West Midlands,England
91,Lynemouth Power Station,Operational,Operational,-1.532504001976289,55.20672173325934,Biomass (dedicated),420.00,Northumberland,North East,England
92,Ferrybridge Multifuel 1 (FM1),Operational,Operational,-1.2818852350690881,53.71641723929932,EfW Incineration,68.00,West Yorkshire,Yorkshire and Humber,England
93,Holbrook Community Renewable Energy Centre,Operational,Operational,-1.332311180252399,53.33081240267397,Biomass (dedicated),6.50,South Yorkshire,Yorkshire and Humber,England
94,Riverside Industrial Estate Gasification Plant,Operational,Operational,-0.012939079273559822,52.957225975990184,Advanced Conversion Technologies,10.50,Lincolnshire,East Midlands,England
95,Rugeley Power Plant Conversion,Abandoned,Abandoned,-1.9129710610383732,52.75395602852578,Biomass (dedicated),1000.00,Staffordshire,West Midlands,England
96,Enviroparks Hirwaun Generation Site,Operational,Operational,-3.538986661345232,51.750094020574444,Advanced Conversion Technologies,20.00,Mid Glamorgan,Wales,Wales
97,Cramlington CHP,Operational,Operational,-1.620629321573954,55.0969399615995,Biomass (dedicated),27.70,Northumberland,North East,England
98,Tyrone Energy 1,Operational,Operational,-7.406464392412203,54.85208565269308,Biomass (dedicated),2.10,Co. Tyrone,Northern Ireland,Northern Ireland
99,Roosecote Biomass,Application Withdrawn,Planning Application Withdrawn,-3.189080493406181,54.10515113624058,Biomass (dedicated),80.00,Cumbria,North West,England
