,bm_unit,repd_site_name,repd_lat,repd_long,technology_type,capacity,county,region,development_status
76,T_CDCL-1,Cottam wind farm,53.32322,-0.78503,Wind Onshore,6.9,Nottinghamshire,East Midlands,Application Withdrawn
77,T_COUWW-1,Cour Wind Farm,55.68068,-5.48493,Wind Onshore,20.5,Strathclyde,Scotland,Operational
78,E_CRGTW-1,Craig Wind Farm,55.16412,-3.06899,Wind Onshore,10.0,Dumfries and Galloway,Scotland,Operational
79,T_CREAW-1,Creag Riabhach Wind Farm,58.2193,-4.51121,Wind Onshore,92.4,Highland,Scotland,Operational
80,2__MSTAT001,Creyke Beck,53.79827,-0.42102,Battery,49.9,Humberside,Yorkshire and Humber,Operational
81,T_CRDEW-1,Crossdykes,55.17615,-3.17287,Wind Onshore,48.0,Dumfries and Galloway,Scotland,Operational
82,T_CRDEW-2,Crossdykes,55.17615,-3.17287,Wind Onshore,48.0,Dumfries and Galloway,Scotland,Operational
83,T_CRUA-4,Cruachan,56.41115,-5.11345,Pumped Storage Hydroelectricity,440.0,Argyll and Bute,Scotland,Operational
84,T_CRUA-3,Cruachan,56.41115,-5.11345,Pumped Storage Hydroelectricity,440.0,Argyll and Bute,Scotland,Operational
85,T_CRUA-1,Cruachan,56.41115,-5.11345,Pumped Storage Hydroelectricity,440.0,Argyll and Bute,Scotland,Operational
86,T_CRUA-2,Cruachan,56.41115,-5.11345,Pumped Storage Hydroelectricity,440.0,Argyll and Bute,Scotland,Operational
87,T_CRYRW-3,Crystal Rig Extension II,55.91289,-2.54549,Wind Onshore,20.7,Borders,Scotland,Operational
88,T_CRYRW-2,Crystal Rig Wind Farm Phase 2a,55.89948,-2.52931,Wind Onshore,138.0,Borders,Scotland,Operational
89,T_CRYRW-3,Crystal Rig Wind Farm Phase 2a,55.89948,-2.52931,Wind Onshore,138.0,Borders,Scotland,Operational
90,T_CRYRW-3,Crystal Rig Wind Farm Phase III,55.92641,-2.53448,Wind Onshore,13.8,Borders,Scotland,Operational
91,T_CRYRW-2,Crystal Rig Wind Farm Phase III,55.92641,-2.53448,Wind Onshore,13.8,Borders,Scotland,Operational
92,T_CRYRW-2,Crystal Rig Wind Farm Phase IV,55.90308,-2.52776,Wind Onshore,48.0,Borders,Scotland,Under Construction
93,T_CRYRW-3,Crystal Rig Wind Farm Phase IV,55.90308,-2.52776,Wind Onshore,48.0,Borders,Scotland,Under Construction
94,T_CUMHW-1,Cumberhead Wind Farm,55.57184,-3.95894,Wind Onshore,48.0,South Lanarkshire,Scotland,Operational
