total_curtailment,total_pn,total_extra,fuelType,time
3.3333333333333335e-05,-0.7237500000000006,-0.0036,,2025-10-30 08:30:00
0.0,-0.8876333333333334,-0.024816666666666667,,2025-10-30 12:45:00
0.005566666666666668,-1.498933333333334,-0.023899999999999998,,2025-10-30 15:30:00
0.01725,-2.0602166666666673,-0.03805,,2025-10-30 18:45:00
0.012483333333333332,-1.9432666666666667,-0.016166666666666666,,2025-10-30 19:30:00
0.002333333333333333,-1.5377,-0.041949999999999994,,2025-10-31 05:00:00
0.00875,-1.7454666666666663,-0.23846666666666672,,2025-10-31 07:15:00
0.0,-1.4883166666666667,-0.1076,,2025-10-31 09:00:00
0.47043333333333337,2.013983333333333,0.0,WIND,2025-09-30 23:45:00
0.8059999999999999,2.647000000000001,0.0,WIND,2025-10-01 01:00:00
0.7716333333333334,2.618,0.0,WIND,2025-10-01 07:45:00
