,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
108,Cruachan Power Station,CRUA-1,56.40638889,-5.11305556,Cruachan,Pumped Storage Hydroelectricity,56.41115236345390,-5.113450894549330,440.00,exact,y
109,Cruachan Power Station,CRUA-2,56.40638889,-5.11305556,Cruachan,Pumped Storage Hydroelectricity,56.41115236345390,-5.113450894549330,440.00,exact,y
110,Cruachan Power Station,CRUA-3,56.40638889,-5.11305556,Cruachan,Pumped Storage Hydroelectricity,56.41115236345390,-5.113450894549330,440.00,exact,y
111,Cruachan Power Station,CRUA-4,56.40638889,-5.11305556,Cruachan,Pumped Storage Hydroelectricity,56.41115236345390,-5.113450894549330,440.00,exact,y
112,Sizewell B power station,SIZB-1,52.215,1.61972,,,,,,,
113,Sizewell B power station,SIZB-2,52.215,1.61972,,,,,,,
114,Heysham 1 power station,HEYM11,54.0304,-2.91719,,,,,,,
115,Heysham 1 power station,HEYM12,54.0304,-2.91719,,,,,,,
116,Heysham 2 power station,HEYM27,54.0273,-2.91504,,,,,,,
117,Heysham 2 power station,HEYM28,54.0273,-2.91504,,,,,,,
118,Heysham 2 power station,HEYM2D-1,54.0273,-2.91504,,,,,,,
119,Dungeness B power station,DNGB21,50.9134,0.95976,,,,,,,
120,Dungeness B power station,DNGB22,50.9134,0.95976,,,,,,,
121,Dungeness B power station,DNGBD-1,50.9134,0.95976,,,,,,,
122,Conon Valley Hydro Electric Scheme,CAS-CON01,57.554,-4.598,,,,,,,
123,Finlarig power station,FINL-1,56.4816,-4.29872,,,,,,,
124,Hornsea Two Offshore Wind Farm,HOWBO-1,53.91,1.5518,,,,,,,
125,Hornsea Two Offshore Wind Farm,HOWBO-2,53.91,1.5518,,,,,,,
126,Hornsea Two Offshore Wind Farm,HOWBO-3,53.91,1.5518,,,,,,,
127,Griffin Wind Farm,GRIFW-1,56.583251,-3.7435659,,,,,,,
128,Griffin Wind Farm,GRIFW-2,56.583251,-3.7435659,,,,,,,
129,Clashindarroch Wind Farm,CLDRW-1,57.363336,-2.9640069,Clashindarroch,Wind Onshore,57.37102969574750,-2.857941095665750,129.00,exact,y
129,Clashindarroch Wind Farm,CLDRW-1,57.363336,-2.9640069,Clashindarroch ,Wind Onshore,57.366481936075100,-2.86614768634714,37.00,exact,y
130,Dun Law wind farm,DNLWW-1,55.805307,-2.8512555,Dun Law,Wind Onshore,55.806457153249700,-2.846031565252740,17.20,exact,y
131,Harestanes Wind Farm,HRSTW-1,55.244384,-3.5596388,Harestanes,Wind Onshore,55.239029213040100,-3.5741975868771900,136.00,exact,y
132,Moy Wind Farm,MOYEW-1,57.406964,-4.0154701,,,,,,,
133,Seagreen Wind Farm,SGRWO-1,56.588,-1.741,Seagreen,Wind Offshore,56.63551233113350,-1.926620733768670,1075.00,exact,y
134,Seagreen Wind Farm,SGRWO-2,56.588,-1.741,Seagreen,Wind Offshore,56.63551233113350,-1.926620733768670,1075.00,exact,y
135,Seagreen Wind Farm,SGRWO-3,56.588,-1.741,Seagreen,Wind Offshore,56.63551233113350,-1.926620733768670,1075.00,exact,y
136,Seagreen Wind Farm,SGRWO-4,56.588,-1.741,Seagreen,Wind Offshore,56.63551233113350,-1.926620733768670,1075.00,exact,y
137,Seagreen Wind Farm,SGRWO-5,56.588,-1.741,Seagreen,Wind Offshore,56.63551233113350,-1.926620733768670,1075.00,exact,y
138,Seagreen Wind Farm,SGRWO-6,56.588,-1.741,Seagreen,Wind Offshore,56.63551233113350,-1.926620733768670,1075.00,exact,y
139,Stronelairg Wind Farm,STLGW-1,,,,,,,,,
140,Stronelairg Wind Farm,STLGW-2,,,,,,,,,
141,Stronelairg Wind Farm,STLGW-3,,,,,,,,,
142,Dorenell Wind Farm,DOREW-1,,,,,,,,,
143,Dorenell Wind Farm,DOREW-2,,,,,,,,,
144,Fallago Rig Wind Farm,FALGW-1,,,Fallago Rig,Wind Onshore,55.83130753143640,-2.6880276875875900,144.00,exact,y
145,Bhlaraidh Wind Farm,BHLAW-1,57.2456,-4.7158,,,,,,,
146,Dogger Bank A Wind Farm,DBAWO-3,54.7489,1.9301,,,,,,,
147,Dogger Bank A Wind Farm,DBAWO-4,54.7489,1.9301,,,,,,,
148,Dogger Bank A Wind Farm,DBAWO-5,54.7489,1.9301,,,,,,,
149,South Kyle Wind Farm,SOKYW-1,,,,,,,,,
150,Dunmaglass Wind Farm,DUNGW-1,,,,,,,,,
151,Brockloch Rig Wind Farm,WISTW-2,,,,,,,,,
152,Kype Muir Wind Farm,KPMRW-1,,,,,,,,,
153,Kype Muir Wind Farm,KYPEW-1,,,,,,,,,
154,Beinneun Wind Farm,BEINW-1,,,Beinneun,Wind Onshore,57.095605803530100,-4.96548104707889,85.00,exact,y
155,Creag Riabhach Wind Farm,CREAW-1,,,,,,,,,
156,Gordonbush Wind Farm,GORDW-1,,,Gordonbush,Wind Onshore,58.05949501787170,-3.9590510483295000,70.00,exact,y
157,Gordonbush Wind Farm,GORDW-2,,,Gordonbush,Wind Onshore,58.05949501787170,-3.9590510483295000,70.00,exact,y
158,Corriegarth Wind Farm,CGTHW-1,,,Corriegarth,Wind Onshore,57.19008455811250,-4.359638023950260,69.50,exact,y
159,Dersalloch Wind Farm,DRSLW-1,,,Dersalloch,Wind Onshore,55.304257199722500,-4.488218013953560,69.00,exact,y
160,Strathy North Wind Farm,STRNW-1,,,Strathy North,Wind Onshore,58.490004008494300,-4.033588056654730,67.70,exact,y
161,Berry Burn Wind Farm,BRYBW-1,,,Berry Burn,Wind Onshore,57.446611032979800,-3.4753925365795800,66.70,exact,y
162,Galawhistle Wind Farm,GLWSW-1,,,Galawhistle,Wind Onshore,55.53957495446020,-3.975422282748210,66.00,exact,y
163,Paul's Hill Wind Farm,PAUHW-1,,,,,,,,,
164,Kennoxhead Wind Farm,KENNW-1,,,,,,,,,
165,Toddleburn Wind Farm,TDBNW-1,55.768,-2.872,Toddleburn,Wind Onshore,55.76855269537960,-2.8773910082852300,27.60,exact,y
166,Moray West Offshore Wind Farm,MOWWO-1,58.094,-2.988,,,,,,,
167,Moray West Offshore Wind Farm,MOWWO-2,58.094,-2.988,,,,,,,
168,Moray West Offshore Wind Farm,MOWWO-3,58.094,-2.988,,,,,,,
169,Moray West Offshore Wind Farm,MOWWO-4,58.094,-2.988,,,,,,,
170,Andershaw Wind Farm,ASHWW-1,,,Andershaw,Wind Onshore,55.50932640838780,-3.8462637410043200,36.00,exact,y
171,Aikengall Community Wind Farm,AKGLW-1,,,,,,,,,
172,Aikengall Community Wind Farm,AKGLW-2,,,,,,,,,
173,Aikengall Community Wind Farm,AKGLW-3,,,,,,,,,
174,Indian Queens Power Station,INDQ-1,50.396,-4.8997,,,,,,,
175,Cottam Development Centre,CDCL-1,53.3062,-0.786,,,,,,,
176,Severn Power Station,SVRP-10,,,,,,,,,
177,Severn Power Station,SVRP-20,,,,,,,,,
178,West Burton A Power Station,WBUPS-1,,,West Burton,Battery,53.364529211549300,-0.7983559165355160,49.00,exact,n
179,West Burton A Power Station,WBUPS-2,,,West Burton,Battery,53.364529211549300,-0.7983559165355160,49.00,exact,n
180,West Burton A Power Station,WBUPS-3,,,West Burton,Battery,53.364529211549300,-0.7983559165355160,49.00,exact,n
181,West Burton A Power Station,WBUPS-4,,,West Burton,Battery,53.364529211549300,-0.7983559165355160,49.00,exact,n
182,West Burton B Power Station,WBURB-1,,,West Burton,Battery,53.364529211549300,-0.7983559165355160,49.00,exact,n
183,West Burton B Power Station,WBURB-2,,,West Burton,Battery,53.364529211549300,-0.7983559165355160,49.00,exact,n
184,West Burton B Power Station,WBURB-3,,,West Burton,Battery,53.364529211549300,-0.7983559165355160,49.00,exact,n
185,Grangemouth CHP,GRMO-1,,,,,,,,,
186,A’Chruach Wind Farm,ACHRW-1,56.1292,-5.335,,,,,,,
187,Afton Wind Farm,AFTOW-1,,,,,,,,,
188,Blackcraig Wind Farm,BLKWW-1,,,Blackcraig,Wind Onshore,55.11991239799600,-4.0321180807000700,52.90,exact,y
189,Kilbraur Wind Farm,KILBW-1,,,,,,,,,
190,Fellside Power Station,FELL-1,,,,,,,,,
191,Aberdare Power Station,ABERU-1,51.6975,-3.41613,,,,,,,
192,Auchrobert Wind Farm,ABRTW-1,,,,,,,,,
193,Carraig Gheal Wind Farm,CRGHW-1,,,Carraig Gheal,Wind Onshore,56.339010418949700,-5.294537321952410,46.00,exact,y
194,Mark Hill Wind Farm,MKHLW-1,,,Mark Hill,Wind Onshore,55.12837305379460,-4.746310375516400,56.00,exact,y
195,Millennium Wind Farm,MILWW-1,,,,,,,,,
196,Glen Kyllachy Wind Farm,GLNKW-1,,,,,,,,,
197,Tilbury Green Power,TIBG-1,,,,,,,,,
198,Sandy Knowe Wind Farm,SAKNW-1,,,,,,,,,
199,Back Lane Battery,AG-CBS06B,53.22386,-1.37484,,,,,,,
200,Gwynt y Môr Wind Farm,GYMRO-15,53.45,-3.58333333,,,,,,,
201,Gwynt y Môr Wind Farm,GYMRO-17,53.45,-3.58333333,,,,,,,
202,Gwynt y Môr Wind Farm,GYMRO-26,53.45,-3.58333333,,,,,,,
