name,bm_unit,lat,long
Crystal Rig Wind Farm,CRYRW-3,55.9,-2.55
Humber Gateway Wind Farm,HMGTO-1,53.644,0.293
Humber Gateway Wind Farm,HMGTO-2,53.644,0.293
East Anglia ONE,EAAO-1,52.66,2.3
East Anglia ONE,EAAO-2,52.66,2.3
European Offshore Wind Deployment Centre,ABRBO-1,57.2167,-1.98333
Fasnakyle Power Station,FASN-1,57.326083333,-4.794
Fasnakyle Power Station,FASN-4,57.326083333,-4.794
Fasnakyle Power Station,FASN2,57.326083333,-4.794
Fasnakyle Power Station,FASN3,57.326083333,-4.794
Kinlochleven Power Station,KNLCV-1,56.7129,-4.95803
Errochty Dam,ERRO-1,56.7644,-4.10523
Errochty Dam,ERRO-2,56.7644,-4.10523
Errochty Dam,ERRO-3,56.7644,-4.10523
Marchwood Power Station,MRWD-1,50.897777777,-1.438888888
Killingholme B power station,KILLPG-1,53.65419,-0.25518
Killingholme B power station,KILLPG-2,53.65419,-0.25518
Thame Road Battery Storage,THMRB-1,,
Peterborough STOR,PETDG-1,52.575703,-0.2037977
Brigg STOR,BRGDG-1,53.540993,-0.508006
Cleve Hill Solar Park,CLVHS-1,51.3344,0.9429
Cleve Hill Solar Park,CLVHS-2,51.3344,0.9429
Mid Hill Wind Farm,2__PSTAT002,,
Dogger Bank B Wind Farm,DBBWO-2,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-3,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-4,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-5,54.9866,1.6622
Dogger Bank B Wind Farm,DBBWO-1,54.9866,1.6622
Haghshaw Hill Wind Farm,HAHAW-1,,
Haghshaw Hill Wind Farm,HAGHW-2,,
Broken Cross wind farm,BROCW-1,55.6165211,-3.8280487
North Kyle Wind Farm,NOKYW-1,,
North Kyle Wind Farm,NOKYW-2,,
Thurrock Storage,THURB-1,,
Thurrock Storage,THURB-2,,
Thurrock Storage,THURB-3,,
Hartlepool Nuclear Power Station,HRTL-1,54.635,-1.18083
Hartlepool Nuclear Power Station,HRTL-2,54.635,-1.18083
Braes of Doune Wind Farm,BRDUW-1,56.2761,-4.0625
Ormonde Wind Farm,OMNDO-1,54.1,-3.4
Hunterston B nuclear power station,HUNBD-1,55.7221,-4.89009
Sloy Power Station,SLOY-1,56.251204,-4.711551
Sloy Power Station,SLOY-2,56.251204,-4.711551
Sloy Power Station,SLOY-3,56.251204,-4.711551
Sloy Power Station,SLOY-4,56.251204,-4.711551
Sloy Power Station,SLOYD-1,56.251204,-4.711551
London Array,LARYO-1,51.6439,1.55361
London Array,LARYO-2,51.6439,1.55361
London Array,LARYO-3,51.6439,1.55361
London Array,LARYO-4,51.6439,1.55361
Cwm Dyli,CWMD-1,53.0659,-4.0115
Damhead Creek power station,DAMC-1,51.4254,0.6001
Derwent Power Station,DERW-1,52.9064,-1.4007
Dudgeon Offshore Wind Farm,DDGNO-1,53.249,1.39
Dudgeon Offshore Wind Farm,DDGNO-2,53.249,1.39
Dudgeon Offshore Wind Farm,DDGNO-3,53.249,1.39
Dudgeon Offshore Wind Farm,DDGNO-4,53.249,1.39
East–West Interconnector,IED-EWIC1,53.5305,-4.8257
East–West Interconnector,IEG-EWIC1,53.5305,-4.8257
Enfield Power Station,EECL-1,51.6628,-0.0227778
Ffestiniog Power Station,FFES-1,52.9808,-3.96889
Ffestiniog Power Station,FFES-2,52.9808,-3.96889
Ffestiniog Power Station,FFES-3,52.9808,-3.96889
Ffestiniog Power Station,FFES-4,52.9808,-3.96889
Glanford Brigg Power Station,BRGG-1,53.5406,-0.503635
Great Yarmouth Power Station,GYAR-1,52.5839,1.73326
Gunfleet Sands Offshore Wind Farm,GNFSW-1,51.7394,1.17444
Gunfleet Sands Offshore Wind Farm,GNFSW-2,51.7394,1.17444
Immingham Power Station,HUMR-1,53.6383,-0.23328
Keadby Power Station,KEAD-1,53.5944,-0.750442
Keadby Power Station,KEADGT-3,53.5944,-0.750442
Langage Power Station,LAGA-1,50.3884,-4.01173
Lincs Wind Farm,LNCSO-1,53.1833,0.483333
Lincs Wind Farm,LNCSO-2,53.1833,0.483333
Little Barford Power Station,LBAR-1,52.2044,-0.268889
Little Barford Power Station,LBAR-1G,52.2044,-0.268889
Lochaber hydroelectric scheme,LCSMH-1,56.829,-5.073
Hywind Scotland,HYWDW-1,57.48333333,-1.35
Peterborough Power Station,PETEM1,52.5769,-0.204
Peterhead Power Station,PEHED-1,57.4772,-1.78888
Rampion Wind Farm,RMPNO-1,50.664722222,-0.278888888
Rampion Wind Farm,RMPNO-2,50.664722222,-0.278888888
