,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
174,Indian Queens Power Station,INDQ-1,50.396,-4.8997,,,,,,,
175,Cottam Development Centre,CDCL-1,53.3062,-0.786,,,,,,,
176,Severn Power Station,SVRP-10,,,,,,,,,
177,Severn Power Station,SVRP-20,,,,,,,,,
185,Grangemouth CHP,GRMO-1,,,,,,,,,
186,A’Chruach Wind Farm,ACHRW-1,56.1292,-5.335,,,,,,,
187,Afton Wind Farm,AFTOW-1,,,Afton Wind Farm,Wind Onshore,55.3116001968864,-4.17428302347659,50.00,exact,y
189,Kilbraur Wind Farm,KILBW-1,,,,,,,,,
190,Fellside Power Station,FELL-1,,,,,,,,,
191,Aberdare Power Station,ABERU-1,51.6975,-3.41613,,,,,,,
192,Auchrobert Wind Farm,ABRTW-1,,,Auchrobert Wind Farm,Wind Onshore,55.62400278889230,-3.984210833480400,36.00,exact,y
195,Millennium Wind Farm,MILWW-1,,,,,,,,,
196,Glen Kyllachy Wind Farm,GLNKW-1,,,Glen Kyllachy Wind Farm,Wind Onshore,57.32073186592510,-4.08565012619048,48.50,exact,y
197,Tilbury Green Power,TIBG-1,,,Tilbury Green Power,Biomass (dedicated),51.46040291608530,0.3496766121735430,43.00,exact,y
198,Sandy Knowe Wind Farm,SAKNW-1,,,Sandy Knowe Wind Farm,Wind Onshore,55.36892523213090,-4.050546547217860,90.00,exact,y
198,Sandy Knowe Wind Farm,SAKNW-1,,,Sandy Knowe Wind Farm,Wind Onshore,55.37214738988420,-4.0513445486984300,49.40,exact,y
198,Sandy Knowe Wind Farm,SAKNW-1,,,Sandy Knowe Wind Farm ,Wind Onshore,55.37214738988420,-4.0513445486984300,81.60,exact,y
199,Back Lane Battery,AG-CBS06B,53.22386,-1.37484,,,,,,,
200,Gwynt y Môr Wind Farm,GYMRO-15,53.45,-3.58333333,,,,,,,
201,Gwynt y Môr Wind Farm,GYMRO-17,53.45,-3.58333333,,,,,,,
202,Gwynt y Môr Wind Farm,GYMRO-26,53.45,-3.58333333,,,,,,,
203,Gwynt y Môr Wind Farm,GYMRO-28,53.45,-3.58333333,,,,,,,
204,Walney Wind Farm,WLNYO-2,54.044,-3.522,,,,,,,
205,Walney Wind Farm,WLNYO-3,54.044,-3.522,,,,,,,
206,Walney Wind Farm,WLNYO-4,54.044,-3.522,,,,,,,
207,Walney Wind Farm,WLNYW-1,54.044,-3.522,,,,,,,
208,Torness Nuclear Power Station,TORN-1,55.968,-2.40908,,,,,,,
209,Torness Nuclear Power Station,TORN-2,55.968,-2.40908,,,,,,,
210,Torness Nuclear Power Station,TORND-1,55.968,-2.40908,,,,,,,
211,Hinkley Point B Nuclear Power Station,HINB-7,51.2088898,-3.1280887,,,,,,,
212,Hinkley Point B Nuclear Power Station,HINB-8,51.2088898,-3.1280887,,,,,,,
213,Hinkley Point B Nuclear Power Station,HINBD-1,51.2088898,-3.1280887,,,,,,,
216,Drax power station,DRAXD-2,53.7358,-0.996389,,,,,,,
217,Drax power station,DRAXX-1,53.7358,-0.996389,,,,,,,
218,Drax power station,DRAXX-2,53.7358,-0.996389,,,,,,,
219,Drax power station,DRAXX-3,53.7358,-0.996389,,,,,,,
220,Drax power station,DRAXX-4,53.7358,-0.996389,,,,,,,
221,Drax power station,DRAXX-5,53.7358,-0.996389,,,,,,,
222,Drax power station,DRAXX-6,53.7358,-0.996389,,,,,,,
223,Joint European Torus,CULJD-1,51.659166666,-1.226388888,,,,,,,
224,Joint European Torus,CULJD-1,51.75484,-1.237215,,,,,,,
225,Robin Rigg Wind Farm,RREW-1,54.75,-3.71667,,,,,,,
226,Robin Rigg Wind Farm,RRWW-1,54.75,-3.71667,,,,,,,
227,Wylfa Nuclear Power Station,WYLF-1,53.4167,-4.48333,,,,,,,
228,Wylfa Nuclear Power Station,WYLF-2,53.4167,-4.48333,,,,,,,
229,Wylfa Nuclear Power Station,WYLF-3,53.4167,-4.48333,,,,,,,
230,Wylfa Nuclear Power Station,WYLF-4,53.4167,-4.48333,,,,,,,
232,Isle of Man to England Interconnector,MANXENR-1,54.0,-3.83333,,,,,,,
235,Pembroke B Power Station,PEMB-11,51.6831,-4.98842,,,,,,,
236,Pembroke B Power Station,PEMB-21,51.6831,-4.98842,,,,,,,
237,Pembroke B Power Station,PEMB-31,51.6831,-4.98842,,,,,,,
238,Pembroke B Power Station,PEMB-41,51.6831,-4.98842,,,,,,,
239,Pembroke B Power Station,PEMB-51,51.6831,-4.98842,,,,,,,
240,Race Bank Wind Farm,RCBKO-1,53.275,0.83333333,,,,,,,
241,Race Bank Wind Farm,RCBKO-2,53.275,0.83333333,,,,,,,
245,Medway Power Station,MEDP-1,51.44,0.69,,,,,,,
248,Viking Wind Farm,VKNGW-1,60.286611111,-1.261222222,Viking Wind Farm,Wind Onshore,60.3393253898048,-1.2084285919760100,370.00,exact,y
248,Viking Wind Farm,VKNGW-1,60.286611111,-1.261222222,Viking Wind Farm ,Wind Onshore,60.3393253898048,-1.2084285919760100,443.00,exact,y
249,Viking Wind Farm,VKNGW-2,60.286611111,-1.261222222,Viking Wind Farm,Wind Onshore,60.3393253898048,-1.2084285919760100,370.00,exact,y
249,Viking Wind Farm,VKNGW-2,60.286611111,-1.261222222,Viking Wind Farm ,Wind Onshore,60.3393253898048,-1.2084285919760100,443.00,exact,y
250,Viking Wind Farm,VKNGW-3,60.286611111,-1.261222222,Viking Wind Farm,Wind Onshore,60.3393253898048,-1.2084285919760100,370.00,exact,y
250,Viking Wind Farm,VKNGW-3,60.286611111,-1.261222222,Viking Wind Farm ,Wind Onshore,60.3393253898048,-1.2084285919760100,443.00,exact,y
251,Viking Wind Farm,VKNGW-4,60.286611111,-1.261222222,Viking Wind Farm,Wind Onshore,60.3393253898048,-1.2084285919760100,370.00,exact,y
251,Viking Wind Farm,VKNGW-4,60.286611111,-1.261222222,Viking Wind Farm ,Wind Onshore,60.3393253898048,-1.2084285919760100,443.00,exact,y
252,Affric-Beauly hydro-electric power scheme,CAS-BEU01,57.325,-4.794,,,,,,,
253,Anglesey Aluminium,ANGLD-1,,,,,,,,,
254,Arecleoch Wind Farm,ARCHW-1,55.0533,-4.88222,,,,,,,
264,Carrington Power Station,CARR-1,53.4358,-2.41089,,,,,,,
265,Carrington Power Station,CARR-2,53.4358,-2.41089,,,,,,,
