repd_site_name,repd_lat,repd_long,total_generated,total_curtailment,total_pn,capacity,bm_unit,below_b6,curtailment_ratio
Creag Riabhach Wind Farm,58.2193,-4.51121,119.35954,-63.6397,182.98695,92.4,T_CREAW-1,false,0.3477827243964665
Race Bank (Phase 1),53.13597,0.58917,1509.21742,-0.48036999999999996,1509.6964200000002,289.8,"T_RCBKO-2,T_RCBKO-1",true,0.00031818979871463157
Kype Muir Wind Farm,55.63265,-4.0361,279.88157,-39.12746,319.00751,88.4,"T_KPMRW-1,T_KYPEW-1",false,0.12265372686680635
Dersalloch,55.30426,-4.48822,97.40141,-28.99849,126.39945,69.0,T_DRSLW-1,false,0.22941943180923652
Moy Wind Farm,57.38883,-4.0488,79.18838,-17.65402,96.8422,40.0,E_MOYEW-1,false,0.18229676731837977
Millennium Extension II,57.15523,-4.88364,107.27532,-0.05057,107.32583,15.0,T_MILWW-1,false,0.0004711820071645381
East Anglia 2 (EA 2),52.72099,2.16871,1127.02085,-1.20803,1128.22888,900.0,T_EAAO-2,true,0.0010707313218218631
Rothes Wind Farm (Extension) (II),57.53726,-3.36296,130.02229,-51.069419999999994,181.09096,41.4,"2__PSTAT001,2__PENEC001",false,0.28200977011773526
Kennoxhead Wind Farm,55.49792,-3.94631,109.79776,-25.43276,135.2291,62.0,T_KENNW-1,false,0.18807165025870912
Limekiln Wind Farm,58.52848,-3.74205,93.42597,-87.39195,180.81092,79.8,T_LIMKW-1,false,0.4833333628300768
Airies Farm,54.80205,-4.65774,55.97677,0.0,55.97677,35.0,E_AIRSW-1,false,-0.0
Pen Y Cymoedd,51.65554,-3.69573,458.16568,-3.24756,461.41292,228.0,T_PNYCW-1,true,0.007038294463015904
Bhlaraidh Wind Farm Extension,57.25136,-4.66179,134.87829,-78.64889,213.52718,84.0,T_BHLAW-1,false,0.36833198471501377
Gwynt y Mor,53.454,-3.62665,1334.34302,-5.47732,1339.82034,576.0,"T_GYMR-26,T_GYMR-17,T_GYMR-28,T_GYMR-15",true,0.004088100349334897
Lochluichart Wind Farm Extension 2,57.69346,-4.76759,101.63167,-22.96436,124.59518,24.0,T_LCLTW-1,false,0.1843117847736967
Harburnhead Wind Farm,55.80868,-3.53217,118.45603,0.0,118.45603,51.7,E_HBHDW-1,false,-0.0
Aikengall,55.91721,-2.49007,342.15409999999997,-62.21352,404.36513,48.0,"T_AKGLW-2,T_AKGLW-3",false,0.1538548093897216
Tullymurdoch Wind Farm,56.65491,-3.31341,24.13407,0.0,24.13407,14.4,E_TLYMW-1,false,-0.0
Lochluichart Extension II,57.67466,-4.81059,101.63167,-22.96436,124.59518,18.0,T_LCLTW-1,false,0.1843117847736967
Braes O'Doune,56.26983,-4.05894,115.44787,-6.01672,121.46448,72.0,E_BRDUW-1,false,0.049534810505919104
Kilbraur Windfarm,58.0404,-4.0588,94.9555,-30.82663,125.78183,47.5,T_KILBW-1,false,0.24508015187885246
Moray East,57.96732,-2.79054,1357.56676,-1398.73015,2756.23516,950.0,"T_MOWEO-2,T_MOWEO-1,T_MOWEO-3",false,0.5074785237120334
Strathy North,58.49,-4.03359,95.52457,-53.37342,148.89798,67.7,T_STRNW-1,false,0.35845630679475976
Greengairs East Wind Farm,55.90107,-3.91201,67.18609,-22.19561,89.38117,24.0,E_GRGRW-1,false,0.24832534637888493
Rothes Wind (Cairn Uish),57.53726,-3.36296,130.02229,-51.069419999999994,181.09096,50.6,"2__PSTAT001,2__PENEC001",false,0.28200977011773526
North Kyle Energy Project,55.35173,-4.35966,223.0129,0.0,223.0129,205.8,"T_NOKYW-2,T_NOKYW-1",false,-0.0
Hill of Towie II Wind Farm,57.62284,-3.34105,78.30692,-3.5918,81.89863,48.0,E_HLTWW-1,false,0.04385665547763131
Griffin Wind farm,56.58122,-3.73375,236.88182999999998,-17.36956,254.2514,156.0,"T_GRIFW-2,T_GRIFW-1",false,0.06831647731339927
Berry Burn,57.44661,-3.47539,152.97919000000002,-49.46006,202.43837000000002,66.7,"E_BRYBW-1,2__PSTAT002",false,0.2443215680900809
Cour Wind Farm,55.68068,-5.48493,62.7965,-0.03022,62.82672,20.5,T_COUWW-1,false,0.0004810055339511596
Sheringham Shoal,53.13532,1.14792,739.9102800000001,-0.59992,740.5101999999999,317.0,"T_SHRSW-2,T_SHRSW-1",true,0.0008101441411610536
Rheidol Wind Farm,52.40758,-3.87723,53.13405,-0.02951,48.88463,2.4,E_RHEI-1,true,0.0006036662239235522
Keith Hill,55.83945,-2.8421,5.39842,0.0,5.39842,25.0,T_KTHLW-1,false,-0.0
Beinn an Tuirc,55.57317,-5.58735,157.99207,-47.484370000000006,205.47635,29.7,"E_BTUIW-3,E_BTUIW-2",false,0.23109408941710327
"Aikengall II, Wester Dod Community Wind Farm",55.91721,-2.49007,342.15409999999997,-62.21352,404.36513,60.8,"T_AKGLW-2,T_AKGLW-3",false,0.1538548093897216
Tralorg Wind Farm,55.24977,-4.80617,29.04708,-0.00155,29.04863,20.0,T_TRLGW-1,false,0.00005335879867656409
Solwaybank Wind Farm,55.10017,-3.10775,71.1706,0.0,71.1706,30.0,E_SWBKW-1,false,-0.0
Cottam wind farm,53.32322,-0.78503,1507.61499,-47.30026,1256.97643,6.9,T_CDCL-1,true,0.03763018849923861
BROWNIELEYS - 3 WIND TURBINES,56.83991,-2.37915,0.0,0.0,0.0,7.5,E_BRNLW-1,false,NaN
Beinn an Tuirc Phase 2,55.57317,-5.58735,157.99207,-47.484370000000006,205.47635,43.7,"E_BTUIW-2,E_BTUIW-3",false,0.23109408941710327
Robin Rigg East,54.76419,-3.69552,384.8979,0.0,384.8979,84.0,"T_RREW-1,T_RRWW-1",true,-0.0
Seagreen,56.63551,-1.92662,1395.75274,-2293.41062,3689.16327,1075.0,"T_SGRWO-1,T_SGRWO-3,T_SGRWO-6,T_SGRWO-5,T_SGRWO-4,T_SGRWO-2",false,0.6216614587513228
Millennium Windfarm,57.15523,-4.88364,107.27532,-0.05057,107.32583,40.0,T_MILWW-1,false,0.0004711820071645381
